2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 22 6 | 5 0 24 | 23 7 28
1201: 36 1191 49 | 38 25 12 | 1 60 14
1213: 324 915 49 | 963 25 300 | 1 348 939
1217: 196 1047 49 | 1095 25 172 | 1 220 1071
1223: 1154 95 49 | 143 25 1130 | 1 1178 119
1229: 961 294 49 | 342 25 937 | 1 985 318
1231: 196 1061 49 | 1109 25 172 | 1 220 1085
1237: 317 946 49 | 994 25 293 | 1 341 970
1249: 0 26 49 | 74 25 1225 | 1 24 50
1259: 422 863 49 | 911 25 398 | 1 446 887
1277: 299 1004 49 | 1052 25 275 | 1 323 1028
1279: 961 344 49 | 392 25 937 | 1 985 368
1283: 100 1209 49 | 1257 25 76 | 1 124 1233
1289: 484 831 49 | 879 25 460 | 1 508 855
1291: 9 17 49 | 65 25 1276 | 1 33 41
1297: 400 923 49 | 971 25 376 | 1 424 947
1301: 841 486 49 | 534 25 817 | 1 865 510
1303: 297 1032 49 | 1080 25 273 | 1 321 1056
1307: 64 1269 49 | 10 25 40 | 1 88 1293
1319: 196 1149 49 | 1197 25 172 | 1 220 1173
1321: 324 1023 49 | 1071 25 300 | 1 348 1047
1327: 289 1064 49 | 1112 25 265 | 1 313 1088
1361: 841 546 49 | 594 25 817 | 1 865 570
1367: 576 817 49 | 865 25 552 | 1 600 841
1373: 784 615 49 | 663 25 760 | 1 808 639
1381: 1369 38 49 | 86 25 1345 | 1 12 62
1399: 802 623 49 | 671 25 778 | 1 826 647
1409: 4 22 49 | 70 25 1389 | 1 28 46
1423: 70 1379 49 | 4 25 46 | 1 94 1403
1427: 1369 84 49 | 132 25 1345 | 1 1393 108
1429: 1136 319 49 | 367 25 1112 | 1 1160 343
1433: 441 1018 49 | 1066 25 417 | 1 465 1042
1439: 865 600 49 | 648 25 841 | 1 889 624
1447: 121 1352 49 | 1400 25 97 | 1 145 1376
1451: 36 1441 49 | 38 25 12 | 1 60 14
1453: 118 1361 49 | 1409 25 94 | 1 142 1385
1459: 1324 161 49 | 209 25 1300 | 1 1348 185
1471: 1225 272 49 | 320 25 1201 | 1 1249 296
1481: 1296 211 49 | 259 25 1272 | 1 1320 235
1483: 1003 506 49 | 554 25 979 | 1 1027 530
1487: 995 518 49 | 566 25 971 | 1 1019 542
1489: 574 941 49 | 989 25 550 | 1 598 965
1493: 441 1078 49 | 1126 25 417 | 1 465 1102
1499: 36 1489 49 | 38 25 12 | 1 60 14
1511: 961 576 49 | 624 25 937 | 1 985 600
1523: 16 10 49 | 58 25 1515 | 1 40 34
1531: 1208 349 49 | 397 25 1184 | 1 1232 373
1543: 1369 200 49 | 248 25 1345 | 1 1393 224
1549: 51 1524 49 | 23 25 27 | 1 75 1548
1553: 144 1435 49 | 1483 25 120 | 1 168 1459
1559: 1369 216 49 | 264 25 1345 | 1 1393 240
1567: 197 1396 49 | 1444 25 173 | 1 221 1420
1571: 324 1273 49 | 1321 25 300 | 1 348 1297
1579: 1296 309 49 | 357 25 1272 | 1 1320 333
1583: 841 768 49 | 816 25 817 | 1 865 792
1597: 436 1187 49 | 1235 25 412 | 1 460 1211
1601: 195 1432 49 | 1480 25 171 | 1 219 1456
1607: 65 1568 49 | 9 25 41 | 1 89 1592
1609: 1102 533 49 | 581 25 1078 | 1 1126 557
1613: 529 1110 49 | 1158 25 505 | 1 553 1134
1619: 36 1609 49 | 38 25 12 | 1 60 14
1621: 81 1566 49 | 1614 25 57 | 1 105 1590
1627: 16 10 49 | 58 25 1619 | 1 40 34
1637: 299 1364 49 | 1412 25 275 | 1 323 1388
1657: 1310 373 49 | 421 25 1286 | 1 1334 397
1663: 1572 117 49 | 165 25 1548 | 1 1596 141
1667: 841 852 49 | 900 25 817 | 1 865 876
1669: 961 734 49 | 782 25 937 | 1 985 758
1693: 64 1655 49 | 10 25 40 | 1 88 1679
1697: 427 1296 49 | 1344 25 403 | 1 451 1320
1699: 9 17 49 | 65 25 1684 | 1 33 41
1709: 560 1175 49 | 1223 25 536 | 1 584 1199
1721: 289 1458 49 | 1506 25 265 | 1 313 1482
1723: 16 10 49 | 58 25 1715 | 1 40 34
1733: 1669 90 49 | 138 25 1645 | 1 1693 114
1741: 196 1571 49 | 1619 25 172 | 1 220 1595
1747: 92 1681 49 | 1729 25 68 | 1 116 1705
1753: 256 1523 49 | 1571 25 232 | 1 280 1547
1759: 64 1721 49 | 10 25 40 | 1 88 1745
1777: 0 26 49 | 74 25 1753 | 1 24 50
1783: 151 1658 49 | 1706 25 127 | 1 175 1682
1787: 900 913 49 | 961 25 876 | 1 924 937
1789: 784 1031 49 | 1079 25 760 | 1 808 1055
1801: 10 16 49 | 64 25 1787 | 1 34 40
1811: 121 1716 49 | 1764 25 97 | 1 145 1740
1823: 961 888 49 | 936 25 937 | 1 985 912
1831: 81 1776 49 | 1824 25 57 | 1 105 1800
1847: 324 1549 49 | 1597 25 300 | 1 348 1573
1861: 1521 366 49 | 414 25 1497 | 1 1545 390
1867: 16 10 49 | 58 25 1859 | 1 40 34
1871: 1849 48 49 | 96 25 1825 | 1 2 72
1873: 1681 218 49 | 266 25 1657 | 1 1705 242
1877: 289 1614 49 | 1662 25 265 | 1 313 1638
1879: 256 1649 49 | 1697 25 232 | 1 280 1673
1889: 16 10 49 | 58 25 1881 | 1 40 34
1901: 417 1510 49 | 1558 25 393 | 1 441 1534
1907: 1327 606 49 | 654 25 1303 | 1 1351 630
1913: 488 1451 49 | 1499 25 464 | 1 512 1475
1931: 1318 639 49 | 687 25 1294 | 1 1342 663
1933: 3 23 49 | 71 25 1912 | 1 27 47
1949: 441 1534 49 | 1582 25 417 | 1 465 1558
1951: 961 1016 49 | 1064 25 937 | 1 985 1040
1973: 150 1849 49 | 1897 25 126 | 1 174 1873
1979: 324 1681 49 | 1729 25 300 | 1 348 1705
1987: 1600 413 49 | 461 25 1576 | 1 1624 437
1993: 105 1914 49 | 1962 25 81 | 1 129 1938
1997: 1764 259 49 | 307 25 1740 | 1 1788 283
1999: 64 1961 49 | 10 25 40 | 1 88 1985
2003: 16 10 49 | 58 25 1995 | 1 40 34
2011: 1764 273 49 | 321 25 1740 | 1 1788 297
2017: 576 1467 49 | 1515 25 552 | 1 600 1491
2027: 169 1884 49 | 1932 25 145 | 1 193 1908
2029: 1681 374 49 | 422 25 1657 | 1 1705 398
2039: 484 1581 49 | 1629 25 460 | 1 508 1605
2053: 625 1454 49 | 1502 25 601 | 1 649 1478
2063: 729 1360 49 | 1408 25 705 | 1 753 1384
2069: 441 1654 49 | 1702 25 417 | 1 465 1678
2081: 140 1967 49 | 2015 25 116 | 1 164 1991
2083: 100 2009 49 | 2057 25 76 | 1 124 2033
2087: 9 17 49 | 65 25 2072 | 1 33 41
2089: 16 10 49 | 58 25 2081 | 1 40 34
2099: 841 1284 49 | 1332 25 817 | 1 865 1308
